0;2;4
0;3;3
0;4;4
0;12;6
0;20;3
0;24;6
0;27;1
0;28;5
0;30;0
0;35;5
0;37;0
0;40;3
0;42;0
0;46;1
0;47;0
0;49;4
0;68;4
0;69;2
0;72;0
0;75;4
0;76;5
0;78;0
0;81;2
0;86;0
0;87;1
0;90;5
0;93;2
0;97;4
0;98;5
0;102;4
0;103;1
0;104;5
0;105;2
0;106;1
0;107;0
0;109;2
0;112;1
0;113;3
0;114;1
0;121;4
0;122;4
0;123;3
0;124;2
0;125;0
0;126;3
0;127;4
0;128;0
0;132;4
0;134;4
0;136;3
0;145;3
0;149;2
0;151;1
0;154;4
0;155;5
0;159;1
0;162;3
0;166;6
0;171;2
0;173;3
0;175;1
0;185;6
0;189;0
0;193;4
0;201;5
0;203;4
0;206;3
0;215;5
0;218;3
0;221;2
0;222;4
0;223;4
0;229;5
0;232;0
0;240;2
0;241;0
0;244;2
0;247;6
0;249;0
0;252;6
0;254;5
0;257;1
0;258;2
0;261;4
0;266;1
0;272;3
0;273;3
0;278;4
0;280;3
0;282;4
0;283;4
0;287;1
0;288;4
0;290;3
0;291;4
0;293;5
0;295;3
0;296;0
0;298;3
1;8;2
1;10;5
1;12;4
1;13;2
1;14;4
1;16;3
1;25;6
1;26;4
1;27;0
1;31;0
1;36;3
1;37;6
1;39;4
1;42;0
1;44;2
1;45;1
1;56;1
1;60;3
1;65;1
1;68;1
1;71;6
1;73;2
1;74;3
1;76;2
1;78;4
1;79;2
1;80;6
1;82;4
1;94;5
1;95;6
1;98;4
1;101;4
1;105;6
1;106;2
1;114;0
1;116;4
1;123;6
1;124;0
1;128;2
1;130;0
1;132;2
1;134;2
1;143;4
1;145;2
1;154;4
1;155;6
1;157;6
1;159;4
1;160;1
1;162;0
1;163;4
1;168;6
1;170;2
1;174;4
1;178;1
1;183;5
1;185;6
1;186;6
1;187;4
1;190;6
1;193;1
1;195;5
1;198;6
1;201;5
1;204;1
1;208;3
1;209;6
1;211;4
1;212;3
1;213;1
1;219;2
1;225;4
1;226;4
1;229;3
1;230;1
1;234;6
1;242;6
1;244;5
1;245;2
1;247;5
1;250;5
1;251;1
